datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/13/2022 15:22,26.15,26.4,297,23.80393981,0.26,86,Fogging,7/13/2022,56,43.62,39.93
7/13/2022 15:24,25.46666667,26.5,285,24.15319576,0.23,82,Fogging,7/13/2022,56,44.27,40.59
7/13/2022 15:26,28.1,26.5,287,24.6833345,0.23,83,Fogging,7/13/2022,56,44.41,40.71
7/13/2022 15:27,26.75,26.5,294,24.6833345,0.22,87,Fogging,7/13/2022,56,44.79,40.99
7/13/2022 16:27,30.35,28.4,534,24.05348015,0.36,209,Fogging,7/13/2022,56,47.68,42.64
7/13/2022 16:28,27.2,28.4,427,22.96652839,0.32,164,Fogging,7/13/2022,56,46.56,42.3
7/13/2022 16:29,27.15,28.4,362,22.78301102,0.32,153,Fogging,7/13/2022,56,45.48,42.09
7/13/2022 16:30,26.36666667,28.4,329,22.12629748,0.32,145,Fogging,7/13/2022,56,44.83,41.85
7/13/2022 16:31,25.9,28.4,373,22.94368569,0.27,161,Fogging,7/13/2022,56,46.68,43.06
7/13/2022 16:32,26.7,28.4,434,22.96652839,0.28,181,Fogging,7/13/2022,56,47.49,43.23
7/13/2022 16:33,28.75,28.5,342,22.87883311,0.26,143,Fogging,7/13/2022,56,46.47,43.03
7/13/2022 16:34,29.3,28.3,530,23.29912198,0.34,188,Fogging,7/13/2022,56,47.76,42.35
7/14/2022 13:18,26.2,27.2,898,18.42387016,0.2,113,Fogging,7/14/2022,56,55.97,41.42
7/14/2022 13:19,27.1,27.1,898,18.54634726,0.21,114,Fogging,7/14/2022,56,55.47,41.14
7/14/2022 13:20,27.9,27.1,898,18.78629287,0.24,114,Fogging,7/14/2022,56,54.39,40.6
7/14/2022 13:21,26.1,27.1,898,18.62667936,0.23,115,Fogging,7/14/2022,56,54.72,40.77
7/14/2022 13:22,24.2,27.1,898,18.02919919,0.21,116,Fogging,7/14/2022,56,55.38,41.08
7/14/2022 13:23,26,26.9,897,18.41257054,0.1,117,Fogging,7/14/2022,56,61.6,44.36
7/14/2022 13:24,25.95,27,897,20.26427148,0.12,118,Fogging,7/14/2022,56,60.53,44.07
7/14/2022 13:25,27.2,27,898,19.39351237,0.21,119,Fogging,7/14/2022,56,55.53,41.3
7/14/2022 13:26,26.8,27,899,20.26427148,0.16,120,Fogging,7/14/2022,56,58.06,42.75
7/14/2022 13:27,25.8,27,898,21.7131331,0.21,121,Fogging,7/14/2022,56,55.97,41.79
7/14/2022 15:03,28.85,28,824,19.36201674,0.23,203,Fogging,7/14/2022,56,54.48,43.48
7/14/2022 15:04,30.65,28.1,822,21.74476811,0.23,250,Fogging,7/14/2022,56,54.99,44.89
7/14/2022 15:05,27.7,28,821,20.51553714,0.23,318,Fogging,7/14/2022,56,54.64,45.77
7/14/2022 15:06,25.35,28,820,20.99229063,0.18,406,Fogging,7/14/2022,56,56.73,48.94
7/14/2022 15:07,32.3,28,818,19.11691529,0.26,510,Fogging,7/14/2022,56,53.35,48.13
7/14/2022 15:08,30.1,28,816,20.49010315,0.35,623,Fogging,7/14/2022,56,51.21,48.23
7/14/2022 15:09,29.9,27.9,814,21.06998498,0.33,717,Fogging,7/14/2022,56,51.63,50.11
7/25/2022 12:37,28.8,28.4,813,24.4588451,0.42,77,Fogging,7/25/2022,56,50.81,40
7/25/2022 12:39,25.2,28.4,814,20.81667305,0.29,77,Fogging,7/25/2022,56,53.12,40.92
7/25/2022 12:40,23.8,28.4,815,22.7599458,0.42,77,Fogging,7/25/2022,56,50.57,39.72
7/25/2022 12:41,24.3,28.5,815,23.37966257,0.42,77,Fogging,7/25/2022,56,50.77,39.93
7/25/2022 12:42,25.75,28.4,816,22.85203855,0.48,77,Fogging,7/25/2022,56,49.59,39.2
7/25/2022 12:43,26.05,28.4,818,20.71400623,0.39,77,Fogging,7/25/2022,56,50.86,39.68
7/25/2022 12:44,24.3,28.5,818,22.48255457,0.48,77,Fogging,7/25/2022,56,49.67,39.25
7/25/2022 12:45,26.6,28.5,819,22.94791144,0.42,77,Fogging,7/25/2022,56,50.76,39.86
7/25/2022 12:46,25.25,28.5,820,22.17380695,0.39,78,Fogging,7/25/2022,56,51.23,40.05
7/25/2022 14:06,30.55,30.4,844,23.41749075,0.37,111,Fogging,7/25/2022,56,54.16,43.03
7/25/2022 14:07,30.2,30.3,844,21.67861832,0.43,131,Fogging,7/25/2022,56,52.61,42.29
7/25/2022 14:08,28.2,30.5,844,22.05613684,0.41,320,Fogging,7/25/2022,56,53.24,45.57
7/25/2022 14:09,28,30.4,844,21.63535183,0.35,644,Fogging,7/25/2022,56,54.31,51.25
7/25/2022 14:10,30,30.4,843,23.11494632,0.53,864,Fogging,7/25/2022,56,51.34,51.62
7/25/2022 14:11,29.95,30.5,843,23.63709287,0.52,939,Fogging,7/25/2022,56,51.66,52.94
